C,dynamic_time,brute_time
10,0.0001392364501953125,0.00028252601623535156
20,0.0002455711364746094,0.0014030933380126953
30,0.0002911090850830078,0.012639045715332031
40,0.0003521442413330078,0.022092819213867188
50,0.0003685951232910156,0.01640772819519043
60,0.0006122589111328125,0.020816564559936523
70,0.0005645751953125,0.01999354362487793
80,0.0005533695220947266,0.01992177963256836
90,0.0010459423065185547,0.032324790954589844
100,0.0007784366607666016,0.02048349380493164
110,0.0008080005645751953,0.02073812484741211
120,0.0008792877197265625,0.020465850830078125
130,0.0015718936920166016,0.020893335342407227
140,0.0013608932495117188,0.02999567985534668
150,0.0014777183532714844,0.021668672561645508
